"cue","feature"
"airplane","you fly in it"
"airplane","its big"
"airplane","it is fast"
"airplane","they are expensive"
"airplane","they are at an airport"
"airplane","you have to be trained to fly it"
"airplane","there are lots of seats"
"airplane","they get very high up"
"airplane","wings engine pilot cockpit tail"
"airplane","wings"
"airplane","it fly"
"airplane","modern technology"
"airplane","has passengers"
"airplane","requires a pilot"
"airplane","can be dangerous"
"airplane","runs on gas"
"airplane","used for travel"
"airplane","wings"
"airplane","fly"
"airplane","pilot"
"airplane","cockpit"
"airplane","uses gas"
"airplane","faster travel"
"airplane","wings"
"airplane","engines"
"airplane","passengers"
"airplane","pilot(s)"
"airplane","vary in size and color"
"airplane","wings"
"airplane","body"
"airplane","flies"
"airplane","travel"
"airplane","wings"
"airplane","white"
"airplane","fly"
"airplane","air"
"airplane","go some where"
"airplane","location"
"airplane","used to bring people from one place to another"
"airplane","air travel"
"airplane","has propellers"
"airplane","used in combat"
"airplane","different sizes allows different amounts of seating"
"airplane","has a pilot"
"airplane","transport people"
"airplane","fast"
"airplane","aerodynamic"
"airplane","transplantation"
"airplane","flying"
"airplane","to travel from country to country"
"airplane","state to state"
"airplane","carry things such as mail"
"airplane","weapons"
"airplane","packages"
"airplane","packages"
"airplane","people"
"airplane","they fly"
"airplane","aerodynamic"
"airplane","very large"
"airplane","possibly dangerous"
"airplane","the wings"
"airplane","the engine"
"airplane","the seats"
"airplane","the doors"
"airplane","the storage"
"airplane","the pilot"
"airplane","runs on fuel"
"airplane","flies"
"airplane","can hold people"
"airplane","mode of transportation"
"airplane","fastest mode of transportation"
"airplane","has jet engines"
"airplane","two pilots"
"airplane","metal"
"airplane","long"
"airplane","wide"
"airplane","strong"
"airplane","heavy"
"airplane","metal"
"airplane","tough"
"airplane","durable"
"airplane","long"
"airplane","large"
"airplane","several windows"
"airplane","several people on it"
"airplane","several workers"
"airplane","large"
"airplane","produces heat"
"airplane","flies"
"airplane","holds people"
"airplane","large"
"airplane","run on jet fuel"
"airplane","made of people"
"airplane","transports goods and people"
"airplane","large"
"airplane","metal"
"airplane","carries passengers"
"airplane","fly fast"
"airplane","fly high"
"airplane","long distance trips"
"airplane","large"
"airplane","in air"
"airplane","carries people"
"airplane","uses gas"
"airplane","large"
"airplane","fly"
"airplane","made of metals"
"airplane","aerodynamic"
"airplane","burns fuel seats passengers"
"airplane","large"
"airplane","aerodynamic"
"airplane","jets"
"airplane","interior seats"
"airplane","baggage"
"airplane","emergency exits"
"airplane","pilot"
"airplane","co pilot"
"airplane","passengers"
"airplane","it is a machine"
"airplane","it is large"
"airplane","it flies in the air"
"airplane","it transports people from different places"
"airplane","transportation"
"airplane","smells like coffee"
"airplane","crowded"
"airplane","cold"
"airplane","metal"
"airplane","used as a weapon"
"airplane","some people are frightened by them"
"airplane","they have wings"
"airplane","a pilot controls them"
"airplane","9/11"
"airplane","it has wings"
"airplane","inside has seats"
"airplane","has large engines"
"airplane","runs on fuel"
"airplane","it flies"
"airplane","when they crash its big and fiery"
"airplane","it holds people"
"airplane","it is flown by two people"
"airplane","it has two wings"
"airplane","it is large"
"airplane","it has a tail"
"airplane","it has wheels"
"airplane","it has windows"
"airplane","it flies made of steel holds passengers travels quickly"
"airplane","runs on fuel"
"airplane","expensive"
"airplane","has a pilot has wings has an engine"
"airplane","it flies"
"airplane","has wings"
"airplane","uses gas"
"airplane","used for travel"
"airplane","it flies"
