cue,feature_response
airplane,you fly in it  its big  it is fast  they are expensive  they are at an airport  you have to be trained to fly it  there are lots of seats  they get very high up 
airplane,wings engine pilot cockpit tail 
airplane,wings  it flys  modern technology  has passengers  requires a pilot  can be dangerous  runs on gas  used for travel 
airplane,wings  flys  pilot  cockpit  uses gas  faster travel 
airplane,wings  engines  passengers  pilot(s)  vary in size and color 
airplane,wings  body  flies  travel 
airplane,wings 
airplane,white  fly  air  go some where  location 
airplane,used to bring people from one place to another  air travel  has propellers  used in combat  different sizes allows different amounts of seating  has a pilot 
airplane,transport people  fast  aerodynamic  
airplane,transplantation  flying 
airplane,to travel from country to country  state to state. carry things such as mail  weapons  packages  packages  people. 
airplane,they fly  aerodynamic  very large  possibly dangerous 
airplane,the wings  the engine  the seats  the doors  the storage  the pilot 
airplane,runs on fuel  flies  can hold people  mode of transportaion  fastest mode of transportation  has jet engines  two pilots  
airplane,metal 
airplane,long  wide  strong  heavy  metal  tough  durable 
airplane,long  large  several windows  several people on it  several workers 
airplane,large. produces heat  flies  holds people 
airplane,large  run on jet fuel  made of people  transports goods and people 
airplane,large  metal  carries passengers  flys fast  flys high  long distance trips 
airplane,large  in air  carries people  uses gas 
airplane,large  flys  made of metals  aerodynamic  burns fuel seats passengers. 
airplane,large  aerodynamic 
airplane,jets  interior seats  bagage  emergency exits  pilot  co pilot  passengers 
airplane,it is a machine  it is large  it flies in the air  it transports people from different places  tranportation  smells like coffee  crowded  cold  metal  used as a weapon  some people are frightened by them  they have wings  a pilot controls them  9/11 
airplane,it has wings  inside has seats  has large engines  runs on fuel 
airplane,it flies. when they crash its big and firey. it holds people. it is flown by two people. it has two wings. it is large. it has a tail. it has wheels. it has windows. 
airplane,it flies made of steel holds passengers travels quickly  runs on fuel  expensive  has a pilot has wings has an engine 
airplane,it flies  has wings  uses gas  used for travel 
airplane,it flies  has wings  people ride in it  its big  it has a jet  has pilots  can crash  transports people 
airplane,it flies  has an engine  has wings  seats people  
airplane,it flies  can be large  can be small  it transports 
airplane,it can fly  it's heavy  its on land  it's in the air  people ride in it  people work on it  it's built from parts  it has cabins  it's warm  it's cold  it has an engine  it can go across country  it has passengers  it has a pilot  it's large 
airplane,is transportation  is expensive  it's full of people  it can be used for mass destruction  it is suppose to be the safer way to travel. 
airplane,is made of metal  carries passengers  travels quickly  looks neat  is multicolored  is made in factories  is long  inside has equipment  runs on gas  can be become hot  is a neccessety  inside has food  inside has seats  inside has technology 
airplane,is large  white  many windows. 
airplane,is big  is heavy 
airplane,is an object that flies  cylindrical shaped body  provides quick travel  is fast  made of metal  carries passengers  runs on fuel  can travel long distances 
airplane,is a vehicle  uses an engine  uses gasoline  used to carry passengers  travels distances  flies  has wings  found in airports  multiple types. 
airplane,is a transportation  runs on gas  used to travel 
airplane,is a sort of transportation  travel. carries people and luggage  takes off and flies in the air  
airplane,is a form of transportation  flies  is made of metal  runs on gas  is big  used by people  has wings 
airplane,huge  windows  wings  people 
airplane,have wings  transport  flies 
airplane,has wings  has nose  flies  fast  holds people  need oil  large 
airplane,has wings  has an engine 
airplane,has wings  has a tail  runs on gas 
airplane,has wings  forn of transportation  carries people  flying 
airplane,has wings  can fly  made of metal 
airplane,flys engine wings wheels seat pilot tail wheel passenger flight attentdent food pillow time sky turblance transportation 
airplane,flys  used for travel 
airplane,flying  wing  pilot 
airplane,flying  heights  fear  9/11  pilot  the movie ariplane 
airplane,flying  big  loud 
airplane,flying 
airplane,fly in the air  take off on the ground  have wings  have wheels  passengers sit in them  pilots conduct them. must pay money to have a flight on one  run on gas. has seats. has seatbelts  gives drinks and peanuts on a flight. are usually big. 
airplane,fly  air  physics  milestones  passenger  wars  wings  used to transport  difference lays in engines  fast  high up  mile high club 
airplane,fly 
airplane,flight attendent  9/11  peanuts  pilots  wings  sky  landing  travel 
airplane,flies high in the sky 
airplane,flies  runs on gas  steered by a pilot  holds people  holds luggage  is big  made of metal  has wings  has engines  has windows 
airplane,flies  holds people  moves people  very big 
airplane,flies  has engines  white  loud  big  makes lift  runs on jet fuel 
airplane,flies  grey  wings  fuel  windows 
airplane,flies  fast  has wings  has lift  made of steel  has windows  carries passengers  large  heavy 
airplane,flies  carries people  carries cargo  made of metal  has engines  driven by pilot  goes long distances 
airplane,flies 
airplane,clouds 
airplane,can fly  is big  travel  vacation  pilots  passengers  luggage 
airplane,big flies in the sky  used for travel 
airplane,are meant to fly. help us travel. runs on fuel. is also a movie. can be big or small. 
airplane,an airplane has wings  engines  and has the abiliy to fly. 
airplane,air  wind  engines  technology  math  physics  crashes  heights  fear of heights  anxiety 
airplane,air  clouds  loud  high  wings  sky  big  found at airports 
airplane,a form of transportation  flies  make of metal  funs on fuel  
alligator,"type of have evil demeanor reptile, hard dry skin, large teeth, seem to "
alligator,"teeth, hungry,mean, agression, territorial "
alligator,"teeth, big, green, scary, water, swamp, eat, blood, long "
alligator,swamps 
alligator,"swamp, dangerous, scary, tails, run, water big, green, scales, teeth, mouth, bite, game warden, "
alligator,"skin, shoes, purses, swamp, creepy, scary, crawling, rough "
alligator,"shoes, dangerous, crocodile "
alligator,"sharp teeth, water, reptile "
alligator,"scary, big, mean, teeth, violent, green "
alligator,"reptile, skin and shoes is used to make products such as bags "
alligator,"reptile, scales, tail, death roll, deadly, muscle "
alligator,"reptile, native cousins to a crocodile, living dinosaurs to the americas, large and scaly, ambush predators, "
alligator,"reptile, green, sharp teeth, mean, killing "
alligator,"reptile, green, jaw, large body in murky water, carnivore, predator, sharp teeth, strong "
alligator,pond teeth 
alligator,"not a crocodile, a large fresh or saltwater reptile, "
alligator,"mean, scary, green, lakes, rivers, swamps "
alligator,"mean, green, hard, hungry "
alligator,"mean, dangerous, sharp teeth, rough, water, louisiana "
alligator,"many teeth, could hurt you, dangerous, green, swamp creatures "
alligator,"louisiana, marsh, swamp, scary, "
alligator,"green, animal, scary, not smooth "
alligator,"found in dangerous, massive, mississippi, australia, louisiana the rivers and swamps, green, brown, sharp teeth, "
alligator,"florida, football, eyes, scales, dragon. green, swimming pool, mean, teeth, attack, sneaky, summer, "
alligator,florida teeth long tail mean bite green 
alligator,"dangerous, hard to escape from, amphibious "
alligator,"crocodile,teeth, predator, meat eater "
alligator,"crocodile, teeth, water, reptile, predator "
alligator,"crocodile, green, good swimmers brown, swamp, alot of teeth, scary, sleep alot, "
alligator,"crocodile, green, bayou, swamp "
alligator,crocodile 
alligator,"crocadile, water, reptile "
alligator,"chicken, green, skin "
alligator,"bit, animal, angry, pond, "
alligator,big scary 
alligator,"bad, hurt, sharp, teeth "
alligator,"animal, zoo, green, scaley, scary, animal planet, science "
alligator,"animal, very expensive boot butlooks good "
alligator,"animal, meat green/brown eater, in swamps, fast swimmer, tail, large teeth, "
alligator,"animal, lives in water, big mouth, "
alligator,"animal, large, hunted for their skin, strong, intimidating powerful jaw, sharp teeth, green and brown, predator, "
alligator,"animal, big teeth, mean "
alligator,"animal, big , scary, kills, predator, fast, can swim "
alligator,animal water big scary 
alligator,animal green water river bird 
alligator,"an animal, live in water, edible, live in swamps reptile, been around since the dinosaurs, sharp teeth, "
alligator,"an animal a reptile that has sharp teeth and live in water, "
alligator,"aggressive, predator, scaly, big, swims, "
alligator,a reptile deep south that lives in lakes and swamps in the 
alligator,"a huge such as a lake, very similar to a crocodile, can lizard eat people up that lives in a body of water "
apple,varies in color. 
apple,tastes good  red  green 
apple,sweet or sour/ bitter  pies  desserts  covered in caramel  grown on trees  snow white  orchard  
apple,sweet  sour  green  red  large  small  seeds  skin  tasty  nutrients  juice  vitamins 
apple,smoke  red  granny smith  green   apple picking 
apple,round  juicy  delicious 
apple,red. green. yellow. keeps doctor away. worms like them. good gift for teacher. grows on tree. has a stem. made into pies 
apple,red green  juicy  type of food  used in cooking  tasty  grown on trees  picked by children and people 
apple,red  sweet  green  tart  round  newton  math  boring 
apple,red  simple  round  green  healthy  popular  common  crisp  food  fruit  does it contain worms  hand picked  nature  childhood 
apple,red  picking  pie 
apple,red  juicy  green  yellow  sour  sweet  has stem  has seeds 
apple,red  juicy 
apple,red  hard  juicy 
apple,red  green  yellow  big  small  juicy 
apple,red  green  fruit  tree  delicious 
apple,red  edible  a fruit  juicy  grows from a tree  has seeds  a stem  could be green or yellow as well  and mainly a baseball size 
apple,red  crunchy  healthy 
apple,red  big small  juicy  ripe  sweet 
apple,red 
apple,pie  fall  red  green  crsip 
apple,pie 
apple,orange 
apple,on trees  green  red  tastey  juicy 
apple,nutrional 
apple,juicy  colorful 
apple,johnny appleseed  caramel apples  fairs  halloween  bobing for apples 
apple,johnny apple seed  fuji  green  red  yellow  tasty  juicy  fruit 
apple,is red  is yellow  is crunchy  is juicy  poeple eat these  healthy food 
apple,is red  is food  is hard  yellow inside  smells fresh 
apple,is a fruit  can be eaten  apple-flavored  is healthy  is nutritious  comes in different flavors 
apple,is a food  is a fruit  is red  green  or yellow  is healthy 
apple,ipod  ipad  mac  
apple,grown on trees  red  gree  yellow  worms  type of food 
apple,grow from a tree  they are healthy  have natural sugars  are red  are green  are yellow 
apple,green red sour fruit 
apple,green  red  yellow  sweet  sour 
apple,fruit  seeds  star  cut  apple dippers  mcdonalds  red  yellow  gala  granny smith 
apple,fruit  seeds  red  green  yellow  stem 
apple,fruit  reminds me of teachers  red  crunchy  tasty  seeds  has a core  
apple,fruit  red peel  give to teachers  computers  ipod 
apple,fruit  red  green  yellow  pie 
apple,fruit  pie  red  green  golden  
apple,fruit  orange  red  seeds  core  juice 
apple,fruit  juicy  red  green  healthy  grows on a tree  has skin 
apple,fruit  has seeds  grows on trees 
apple,fruit  grocery store  orchard  red  green  yelloe  good with peanut butter  good with caramell 
apple,fruit  food  nutritious 
apple,fruit  containing seeds  
apple,fruit  computer company 
apple,fruit  clean teeth  can be green red and pink  grows on trees  can have worms 
apple,fruit  baseball sized  sweet  sour  
apple,fruit 
apple,food  trees  fruit  seeds 
apple,food  company  juicy  rotten  edible  core  grows on trees 
apple,edible. a fruit. can be yellow  red  or green. have a stem. have seeds. grow on trees. 
apple,edible skin  different kinds  red  gala  juicy  had a core  has seeds 
apple,edible  red  round  grown on tree  has stem  has a core  has seeds 
apple,eat  fruit  tree  healthy 
apple,crisp  sweet  nutritious  laptop 
apple,crisp  fresh  clean 
apple,computer  i-pods  music  fruit  green  red  is yellow  soft 
apple,computer  fruit  pear  banana 
apple,computer  fruit  of my eye 
apple,comes from a tree 
apple,can have red skin or green skin  can be mushy  gets brown when not fresh  can be crisp used for fruit salad  a fruit  grows from a tree 
apple,a fruit  red or green skin  white inside  has a stem  has seeds 
apple,a food item a fruit red grown on trees 
ashtray,yuck  cigars  lung cancer  bad  dirty  ashy  powder 
ashtray,"where you put cigarette butts, disgusting "
ashtray,where smokers put their ashes 
ashtray,"what you smoke with, in vehicles and resturants "
ashtray,used to store waste from cigarette use 
ashtray,used to store cigarette butts after someone is through 
ashtray,used to hold ashes of cigarettes or other smoking apparatuses 
ashtray,used to hold ashes from cigarettes. 
ashtray,used to hold ashes  
ashtray,used for cigarette ashes  smells bad 
ashtray,"used by to drop ashes in, made from glass, made from plastic, smokers, made from wood, made from stone found in bars, found in restaurants, used "
ashtray,sturdy  non combustible 
ashtray,stinky 
ashtray,stinks  has cigarrette butts  dirty 
ashtray,"something you use to put ashes in, smoke, color, hard "
ashtray,something 
ashtray,"smoking, dirty, gray "
ashtray,"smoking, cigarettes, disgusting, butt "
ashtray,"smoking, ashes, dirty, smelly, smoke "
ashtray,smoking environment 
ashtray,smoking cigarettes  
ashtray,smoking  gross  dirty  smelly  where smoking buds go into 
ashtray,smoking  cigarettes 
ashtray,smoking 
ashtray,"smokers, cigarattes, marijuana, nasty, unsantitary, smelly, health "
ashtray,smokeing  holds ashes 
ashtray,"smoke, smell, second hand smoke "
ashtray,"smoke, cough, grey matter, disgusting smell, stains, dryness, addiction cigarette, second hand smoke, heart attack, lung cancer, "
ashtray,"smoke, cigarettes, car, truck, vehicle, home "
ashtray,smoke cirgrates  gross 
ashtray,smoke  cancer  cigerate 
ashtray,smells  contains ashes  is located in a bar and smoking sections  is useful to smokers 
ashtray,small  smoke filled dirty 
ashtray,plate 
ashtray,physical 
ashtray,nasty  cigarettes  ash  bars  dirty  smelly 
ashtray,nasty 
ashtray,misdirection deviation detour 
ashtray,"is gross, is ashy, makes me sneeze "
ashtray,is gross 
ashtray,is grey  is dusty 
ashtray,holds ash from cigarettes  circle  
ashtray,holds ash  can be different shapes  used when smoking 
ashtray,gross  used for cigarettes  smells  is dirty 
ashtray,gross  smokers  ashes  smell  stench 
ashtray,gross  grey  smells 
ashtray,for cigarettes to ash in  nasty  dirty  stinky  black  smelly  
ashtray,flat. smells of cigarettes. dirty. used by smokers. 
ashtray,fire safety tool 
ashtray,dont smoke  cigs  cigars  
ashtray,disgusting  cigarettes  
ashtray,"dirty, smoke, black, dust "
ashtray,dirty  germs  ash  cigarette butts  
ashtray,dirty  ashes  plastic  cigarettes 
ashtray,"clean, dirty "
ashtray,"circular, square, inside a car or a home "
ashtray,"cigs, blunts "
ashtray,"cigrattes, ashes, smoke "
ashtray,"ciggarette butts, smoke smell, ashes "
ashtray,"cigeretts, smoke, ashes, car, house, cancer "
ashtray,cigerettes 
ashtray,"cigarrettes, smoking, stinky, unhealthy, dirty "
ashtray,cigarrette users use them  catch ash from cigarrettes  look like small bowls 
ashtray,"cigarrets, in houses, different colors, "
ashtray,cigaretts  smells  smoker 
ashtray,"cigarettes,smells horible "
ashtray,"cigarettes, smoke, glass, ashes "
ashtray,"cigarettes, nasty, dirty, ashes "
ashtray,"cigarettes, butts, marlboro, ash "
ashtray,"cigarettes, butts, cigars, decorative, suveniers "
ashtray,"cigarettes smoke, blunt, cancer, ashes, butts, "
ashtray,cigarettes gross ashes smells 
ashtray,cigarettes  smoking  trash 
ashtray,cigarettes  smoking  gross  black 
ashtray,cigarettes  smelly  dirty 
ashtray,cigarettes  smelly  ash in the tray  round  square  metal  glass  plastic  
ashtray,cigarettes  smelly 
ashtray,cigarettes  cigars 
ashtray,cigarettes  ashes  dirty 
ashtray,cigarettes 
ashtray,"cigarette, smoke, ashes, cancer, stick, nasty, fire "
ashtray,"cigarette, smoke, ash, second hand smoke, addiction, nicotine, fire, "
ashtray,"cigarette, ash, smoker, burning, fire "
ashtray,"cigarette, ash, smoke, lighter, bar "
ashtray,cigarette ash  trash 
ashtray,cigarette  trash 
ashtray,cigarette  cigar  metal  glass  built into cars 
ashtray,cigarette 
ashtray,blunt 
ashtray,"ashes, smoke, parties glass, cigarettes, lighters, cancer, lung problems, bars, tables, "
ashtray,ashes  cigarette  discards 
ashtray,ashes 
ashtray,"ash, ciggaretes, filth. "
ashtray,"ash, cigarettes, nasty "
ashtray,a tray used to put ciggarett  tobacco  and other smokable items ash into. 
ashtray,a dish  smells gross 
bake,you bake in an oven to make yummy foods 
bake,warm in the oven cook things healthier then frying 
bake,using the oven to create something with dough such as cookies bread cake or sometimes a casserole the heating of materials so they will rise usually has to do with desserts but can be other things as well 
bake,to put food into an oven to cook usually pasteries or dessert 
bake,to make food 
bake,to make a cake to use an oven done in the kitchen used to make food to use heat to cook slang meaning to get high 
bake,to make a cake dinner its hard its challeging its a long process 
bake,to create food often requires heat in the form of an oven a variety of things are bake-cakes cookies meatloaf ham etc a meal tasty can be different colors 
bake,to cook usually some form of pastry or bread done in an oven 
bake,to cook something usually sweet or in a bread form to cook in an oven bakers bake things and sell them for a profit bake cookies brownies cakes and bread to make something that is edible 
bake,to cook something to make desserts 
bake,to cook something 
bake,to cook in the stove for a period of time. 
bake,to cook in an oven girls like to do this with each other mainly with brownies 
bake,to cook food 
bake,to cook cookie 
bake,this requires an oven brownies cookies cakes 
bake,this is a verb 
bake,the act of heating up a substance in an enclosed area. 
bake,"term used in cooking can base stores around it used to make cakes cupcakes other ""sweet"" items need electric appliances for that uses ingridients to make food  "
bake,sweets like cookies and cakes use an oven for this things usually get hot associated with food 
bake,requires an oven uses heat to finish a product can be used to produce food cooks from all sides using heat 
bake,process of cooking requires heat long time specific shops breads and sweats 
bake,prepare conviction treats bread cookies done in oven form of cooking food 
bake,pot food hungry 
